idx,disease,Symptom,Medical Tests,Medications
74,Viral warts,"['Warts', 'Skin lesion', 'Skin growth', 'Abnormal appearing skin', 'Skin moles', 'Acne or pimples', 'Bumps on penis', 'Skin swelling', 'Skin dryness, peeling, scaliness, or roughness', 'Lip swelling', 'Too little hair', 'Foot or toe lump or mass']","['Complete physical skin exam performed (ML)', 'Excision (Removal)', 'Excision of skin lesion', 'Pelvis exam', 'Wound care management', 'Rectal examination', 'Biopsy']","['Imiquimod Topical', 'Salicylic Acid Topical', 'Tretinoin Topical', 'Podofilox Topical', 'Trichloroacetic Acid Topical', 'Cimetidine', 'Acetic Acid Topical', 'Tazarotene Topical', 'Econazole Topical', 'Candida Albicans Extract', 'Podophyllum Resin Topical']"
75,Hyperhidrosis,"['Sweating', 'Warts', 'Acne or pimples', 'Fever', 'Skin rash', 'Redness in ear', 'Headache', 'Diminished vision', 'Sharp abdominal pain', 'Cough', 'Vomiting', 'Cramps and spasms']","['Complete physical skin exam performed (ML)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Excision (Removal)', 'Other OR therapeutic nervous system procedures', 'Prostate specific antigen measurement (Prostate specific antigen test)', 'Corneal transplant', 'Procedures on spleen (Spleen operation)']","['Aluminum Chloride Hexahydrate Topical', 'Botulinum Toxin Type A (Botox)', 'Imiquimod Topical', 'Adapalene-Benzoyl Peroxide Topical', 'Clindamycin-Tretinoin Topical', 'Nateglinide (Starlix)', 'Benzoyl Peroxide-Clindamycin Topical', 'Isotretinoin (Accutane)', 'Cyproheptadine', 'Nadolol']"
76,Stroke,"['Focal weakness', 'Dizziness', 'Headache', 'Loss of sensation', 'Weakness', 'Problems with movement', 'Slurring words', 'Difficulty speaking', 'Depressive or psychotic symptoms', 'Seizures', 'Abnormal involuntary movements', 'Disturbance of memory']","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Electrocardiogram', 'Glucose measurement (Glucose level)', 'Electrolytes panel']","['Clopidogrel (Plavix)', 'Labetalol', 'Alteplase', 'Fosphenytoin', 'Deferasirox (Exjade)', 'Bethanechol', 'Nicardipine', 'Dalteparin (Fragmin)', 'Rimabotulinumtoxinb (Myobloc)']"
77,Pilonidal cyst,"['Skin growth', 'Lower body pain', 'Ache all over', 'Skin swelling', 'Pain of the anus', 'Bones are painful', 'Back mass or lump', 'Mass or swelling around the anus', 'Pelvic pain', 'Fluid retention', 'Low back swelling', 'Irregular appearing scalp']","['Wound care management', 'Complete physical skin exam performed (ML)', 'Incision and drainage (I d)', 'Excision (Removal)', 'Rectal examination', 'Culture wound', 'Other OR therapeutic procedures on skin and breast']","['Clindamycin', 'Miconazole Topical Product', 'Betamethasone-Clotrimazole Topical', 'Silver Nitrate Topical Each', 'Magnesium Sulfate', 'Quinidine', 'Clavulanate (Augmentin)', 'Salsalate', 'Sodium Hypochlorite Topical', 'Isosorbide Dinitrate', 'Linezolid (Zyvox)', 'Dicloxacillin']"
78,Crushing injury,"['Hand or finger pain', 'Foot or toe pain', 'Loss of sensation', 'Hand or finger swelling', 'Hand or finger stiffness or tightness', 'Ankle swelling', 'Knee swelling', 'Neck swelling', 'Lymphedema']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Wound care management', 'Suturing of wound', 'Prothrombin time assay (Prothrombin time)', 'Incision and drainage (I d)']","['Cephalexin', 'Cefazolin', 'Tetanus Toxoid Vaccine (Adacel)', 'Bupivacaine', 'Chromium Picolinate', 'Lidocaine Topical Product', 'Trolamine Salicylate Topical', 'Vecuronium', 'Dimenhydrinate (Dramamine)', 'Diphtheria Toxoid Vaccine (Prohibit)']"
79,Normal pressure hydrocephalus,"['Problems with movement', 'Headache', 'Disturbance of memory', 'Depressive or psychotic symptoms', 'Dizziness', 'Palpitations', 'Difficulty speaking', 'Involuntary urination', 'Fatigue', 'Hip lump or mass', 'Blood in urine', 'Drainage in throat']","['Radiographic imaging procedure', 'Magnetic resonance imaging (Mri)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Physical therapy exercises (Exercises)', 'Other OR therapeutic nervous system procedures', 'Psychotherapy', 'Insertion; replacement; or removal of extracranial ventricular shunt']","['Guanfacine (Intuniv)', 'Donepezil (Aricept)', 'Methylphenidate', 'Pyrilamine (Tritan)', 'Colestipol', 'Galantamine', 'Indapamide', 'Trimethobenzamide (Tigan)', 'Captopril', 'Desloratadine (Clarinex)', 'Pramipexole (Mirapex)']"
80,Alopecia,"['Too little hair', 'Irregular appearing scalp', 'Skin rash', 'Skin swelling', 'Abnormal appearing skin', 'Dry or flaky scalp', 'Acne or pimples', 'Skin dryness, peeling, scaliness, or roughness', 'Itchy scalp', 'Itching of skin', 'Feeling ill', 'Skin growth']","['Complete physical skin exam performed (ML)', 'Lipid panel', 'Other therapeutic procedures', 'Biopsy', 'Excision (Removal)', 'Other diagnostic procedures on skin and subcutaneous tissue', 'Excision of skin lesion']","['Minoxidil Topical', 'Finasteride (Propecia)', 'Triamcinolone Topical Product', 'Clobetasol Topical', 'Fluocinonide Topical', 'Minoxidil (Rogaine)', 'Betamethasone Topical Product', 'Salicylic Acid Topical', 'Ketoconazole', 'Hydroxychloroquine (Plaquenil)', 'Anthralin Topical', 'Biotin']"
81,Hashimoto thyroiditis,"['Weight gain', 'Constipation', 'Heavy menstrual flow', 'Premenstrual tension or irritability', 'Warts', 'Difficulty in swallowing', 'Too little hair', 'Palpitations', 'Heartburn', 'Suprapubic pain', 'Abnormal involuntary movements', 'Feeling hot']","['Hematologic tests (Blood test)', 'Complete physical skin exam performed (ML)', 'Lipid panel', 'Biopsy', 'Ultrasonography (Ultrasound)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Examination of foot']","['Thyroxine (Synthroid)', 'Lithium (Li)', 'Sumatriptan (Imitrex)', 'Cannabis (Schedule I Substance)', 'Propylthiouracil', 'Triiodothyronine (Cytomel)', 'Garlic Preparation (Kwai)', 'Methimazole', 'Guanfacine (Intuniv)']"
82,Flat feet,"['Foot or toe pain', 'Knee pain', 'Ankle pain', 'Problems with movement', 'Cramps and spasms', 'Feet turned in', 'Symptoms of eye', 'Foot or toe stiffness or tightness', 'Skin swelling', 'Weight gain', 'Skin growth', 'Retention of urine']","['Examination of foot', 'Plain x-ray (X ray)', 'Complete physical skin exam performed (ML)', 'Physical therapy exercises (Exercises)', 'Rectal examination', 'Other non-OR therapeutic procedures on musculoskeletal system', 'Prophylactic vaccinations and inoculations']","['Influenza Virus Vaccine, H1N1, Inactivated', 'Garlic Preparation (Kwai)', 'Amantadine', 'Guanfacine (Intuniv)', 'Selenium Sulfide Topical', 'Varenicline (Chantix)', 'Nicotine', 'Tizanidine', 'Ropinirole', 'Eszopiclone (Lunesta)', 'Orphenadrine (Flexon)']"
83,Nonalcoholic liver disease (NASH),"['Sharp abdominal pain', 'Upper abdominal pain', 'Nausea', 'Dizziness', 'Diarrhea', 'Weight gain', 'Mouth ulcer', 'Chills', 'Paresthesia', 'Joint pain', 'Nosebleed', 'Regurgitation']","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Glucose measurement (Glucose level)', 'Lipid panel', 'Electrolytes panel', 'X-ray computed tomography (Scan ct)', 'Intravenous fluid replacement']","['Vitamin E (Vita-E)', 'Valganciclovir (Valcyte)', 'Dapsone', 'Mycophenolate Mofetil (Cellcept)', 'Lactulose', 'Cyclosporine', 'Nadolol', 'Mesalamine (Asacol)', 'Epoetin Alfa (Procrit)', 'Dutasteride (Avodart)', 'Rabeprazole (Aciphex)', 'Glucosamine']"
84,Hemarthrosis,"['Knee pain', 'Knee swelling', 'Frequent urination', 'Shoulder pain', 'Ankle swelling', 'Knee lump or mass', 'Abnormal appearing skin', 'Ache all over', 'Knee stiffness or tightness', 'Problems with movement', 'Elbow cramps or spasms', 'Elbow weakness']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Other therapeutic procedures', 'Physical therapy exercises (Exercises)', 'Application of splint (Splinting)', 'Prothrombin time assay (Prothrombin time)', 'Arthrocentesis']","['Warfarin', 'Olmesartan (Benicar)', 'Vitamin B 12', 'Factor Ix Complex (Obsolete)', 'Cortisone', 'Nifedipine', 'Digoxin', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical']"
85,Pelvic organ prolapse,"['Involuntary urination', 'Frequent urination', 'Symptoms of bladder', 'Retention of urine', 'Suprapubic pain', 'Vaginal pain', 'Pelvic pain', 'Blood in urine', 'Pelvic pressure', 'Vaginal discharge', 'Excessive urination at night', 'Intermenstrual bleeding']","['Pelvis exam', 'Urinalysis', 'Examination of breast', 'Rectal examination', 'Mammography (Mammogram)', 'Other non-OR therapeutic procedures; female organs', 'Ultrasonography (Ultrasound)']","['Estradiol', 'Estrogens, Conjugated (Usp) (Premarin)', 'Tolterodine (Detrol)', 'Solifenacin (Vesicare)', 'Darifenacin (Enablex)', 'Terconazole Topical', 'Selegiline', 'Bethanechol', 'Imipramine', 'Tinidazole', 'Eprosartan (Teveten)']"
86,Fracture of the arm,"['Arm pain', 'Wrist pain', 'Elbow pain', 'Shoulder pain', 'Wrist swelling', 'Arm swelling', 'Elbow swelling', 'Arm stiffness or tightness', 'Wrist stiffness or tightness', 'Shoulder stiffness or tightness', 'Elbow stiffness or tightness']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Orthopedic casting', 'Physical therapy exercises (Exercises)', 'Traction; splints; and other wound care', 'CAT scan of head (Head ct)']","['Ketamine', 'Flumazenil', 'Carboprost (Hemabate)', 'Methohexital (Brevital)', 'Digitoxin', 'Etomidate', 'Disopyramide', 'Turmeric Extract', 'Fluorides (F-)', 'Cephalothin', 'Fenoprofen (Progesic)']"
87,Coagulation (bleeding) disorder,"['Leg pain', 'Leg swelling', 'Nosebleed', 'Blood in urine', 'Eye redness', 'Melena', 'Lymphedema', 'Hemoptysis', 'Leg cramps or spasms', 'Early or late onset of menopause', 'Knee swelling', 'Vaginal pain']","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Glucose measurement (Glucose level)', 'Electrolytes panel', 'Prothrombin time assay (Prothrombin time)', 'Kidney function tests (Kidney function test)', 'Intravenous fluid replacement']","['Warfarin', 'Enoxaparin (Lovenox)', 'Heparin', 'Pyridoxine', 'Hydroxychloroquine (Plaquenil)', 'Acarbose', 'Vitamin K 1 (Mephyton)', 'Torsemide', 'Chlorotrianisene (Tace)', 'Protamines (Protamine)', 'Factor Viii', 'Menthol Topical']"
88,Intracranial hemorrhage,"['Headache', 'Depressive or psychotic symptoms', 'Disturbance of memory', 'Problems with movement', 'Dizziness', 'Seizures', 'Weakness', 'Vomiting', 'Joint pain', 'Abnormal involuntary movements', 'Diminished vision', 'Difficulty speaking']","['Radiographic imaging procedure', 'X-ray computed tomography (Scan ct)', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'CAT scan of head (Head ct)', 'Intravenous fluid replacement', 'Kidney function tests (Kidney function test)']","['Phenytoin (Dilantin)', 'Tetanus Toxoid Vaccine (Adacel)', 'Amantadine', 'Labetalol', 'Mannitol', 'Donepezil (Aricept)', 'Nicardipine', 'Plasma Protein Fraction (Plasmanate)', 'Fosphenytoin', 'Desmopressin', 'Nimodipine', 'Hypromellose (Genteal)']"
89,Hyperkalemia,"['Shortness of breath', 'Weakness', 'Nausea', 'Vomiting', 'Dizziness', 'Sharp chest pain', 'Depressive or psychotic symptoms', 'Sharp abdominal pain', 'Feeling ill', 'Decreased heart rate', 'Decreased appetite', 'Difficulty in swallowing']","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Electrocardiogram', 'Electrolytes panel', 'Kidney function tests (Kidney function test)', 'Radiographic imaging procedure', 'Intravenous fluid replacement']","['Sodium Polystyrene Sulfonate (Kayexalate)', 'Insulin', 'Sodium Bicarbonate', 'Atropine (Uaa)', 'Epoetin Alfa (Procrit)', 'Magnesium Sulfate', 'Dopamine', 'Calcium Acetate', 'Isosorbide Mononitrate (Ismo)', 'Calcitriol', 'Hyoscyamine (A-Spas)']"
90,Cornea infection,"['Pain in eye', 'Eye redness', 'Diminished vision', 'Symptoms of eye', 'Foreign body sensation in eye', 'Lacrimation', 'Eye burns or stings', 'Itchiness of eye', 'Spots or clouds in vision', 'Swollen eye', 'Lip swelling', 'Itchy eyelid']","['Ophthalmic examination and evaluation (Eye exam)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Ophthalmologic and otologic diagnosis and treatment', 'Corneal transplant']","['Moxifloxacin (Avelox)', 'Dexamethasone-Tobramycin Ophthalmic', 'Erythromycin', 'Proparacaine Ophthalmic', 'Prednisolone Ophthalmic', 'Loteprednol-Tobramycin Ophthalmic', 'Cyclopentolate Ophthalmic', 'Cyclosporine Ophthalmic', 'Fluorometholone Ophthalmic', 'Tetracaine (One Touch)', 'Tobramycin (Tobi)', 'Ofloxacin Ophthalmic']"
91,Abscess of the lung,"['Cough', 'Sharp chest pain', 'Shortness of breath', 'Hemoptysis', 'Depressive or psychotic symptoms', 'Back pain', 'Drainage in throat', 'Vomiting', 'Headache', 'Itchy eyelid', 'Wrist weakness', 'Excessive growth']","['Radiographic imaging procedure', 'X-ray computed tomography (Scan ct)', 'Intravenous fluid replacement', 'Plain x-ray (X ray)', 'Physical therapy exercises (Exercises)', 'Cardiac monitoring (Cardiac monitor)', 'Other OR therapeutic nervous system procedures']","['Insulin', 'Metformin', 'Meropenem', 'Collagenase Topical', 'Vancomycin', 'Budesonide', 'Levetiracetam (Keppra)', 'Insulin, Aspart, Human (Novolog)', 'Combivent', 'Dexamethasone Topical Product', 'Docusate (Colace)']"
92,Dengue fever,"['Sore throat', 'Fever', 'Shoulder cramps or spasms', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Joint stiffness or tightness', 'Excessive anger', 'Pain or soreness of breast', 'Knee lump or mass', 'Facial pain', 'Pain in eye']","['Hematologic tests (Blood test)', 'Corneal transplant', 'Transurethral resection of prostate (TURP) (Turp)', 'Coronary thrombolysis', 'Control of epistaxis', 'CT scan abdomen (Ct of abdomen)', 'Procedures on spleen (Spleen operation)']","['Permethrin Topical', 'Hydroxyzine', 'Ranitidine', 'Acetaminophen', 'Air', 'Mecamylamine', 'Troleandomycin', 'Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)', 'Pipecuronium (Arduan)', 'Grepafloxacin (Raxar)', 'Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)']"
93,Chronic sinusitis,"['Cough', 'Nasal congestion', 'Headache', 'Sore throat', 'Fever', 'Frontal headache', 'Coryza', 'Ear pain', 'Painful sinuses', 'Sinus congestion', 'Facial pain', 'Congestion in chest']","['X-ray computed tomography (Scan ct)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Diagnostic procedures on nose; mouth and pharynx', 'Influenzavirus antibody assay', 'Other diagnostic procedures on skin and subcutaneous tissue', 'Other OR therapeutic procedures on nose; mouth and pharynx', 'Ophthalmologic and otologic diagnosis and treatment']","['Augmentin', 'Mometasone Nasal Product', 'Guaifenesin (Mucinex)', 'Clarithromycin', 'Cefdinir', 'Pseudoephedrine (Pcm-La)', 'Cefuroxime', 'Azelastine Nasal', 'Triamcinolone Nasal Product', 'Oxymetazoline Nasal']"
94,Cholesteatoma,"['Ear pain', 'Diminished hearing', 'Fluid in ear', 'Redness in ear', 'Nasal congestion', 'Mass on ear', 'Plugged feeling in ear', 'Bleeding from ear', 'Skin growth', 'Pus draining from ear', 'Allergic reaction', 'Muscle swelling']","['Ophthalmologic and otologic diagnosis and treatment', 'Excision (Removal)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Wound care management', 'Lipid panel', 'Other therapeutic ear procedures', 'Prostate specific antigen measurement (Prostate specific antigen test)']","['Ofloxacin', 'Triamcinolone Nasal Product', 'Boric Acid Topical', 'Neomycin (Septa)', 'Theophylline', 'Dexamethasone-Tobramycin Ophthalmic', 'Desloratadine (Clarinex)', 'Olopatadine Ophthalmic']"
95,Volvulus,"['Sharp abdominal pain', 'Vomiting', 'Constipation', 'Burning abdominal pain', 'Peripheral edema', 'Back pain', 'Nausea', 'Depressive or psychotic symptoms', 'Diarrhea', 'Elbow cramps or spasms', 'Elbow weakness', 'Excessive growth']","['Complete blood count (Cbc)', 'Hematologic tests (Blood test)', 'Radiographic imaging procedure', 'Kidney function tests (Kidney function test)', 'Electrolytes panel', 'Glucose measurement (Glucose level)', 'Plain x-ray (X ray)']","['Morphine (Rms)', 'Metronidazole', 'Midodrine', 'Repaglinide (Prandin)', 'Trimethobenzamide (Tigan)', 'Iohexol (Omnipaque)', 'Naloxone (Suboxone)', 'Lactulose', 'Zosyn', 'Amiodarone', 'Allopurinol', 'Midazolam (Versed)']"
96,Injury to the finger,"['Hand or finger pain', 'Hand or finger swelling', 'Hand or finger stiffness or tightness', 'Hand or finger weakness', 'Swelling of scrotum', 'Hand or finger lump or mass']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Wound care management', 'Suturing of wound', 'Physical therapy exercises (Exercises)', 'Culture wound']","['Cephalexin', 'Cefazolin', 'Tetanus Toxoid Vaccine (Adacel)', 'Bupivacaine', 'Cefadroxil', 'Hydrogen Peroxide Topical', 'Phenylpropanolamine (E.N.T.)', 'Tranylcypromine (Parnate)', 'Lidocaine Topical Product', 'Albumin Human, Usp (Albutein)']"
97,Poisoning due to analgesics,"['Depressive or psychotic symptoms', 'Depression', 'Vomiting', 'Abusing alcohol', 'Problems during pregnancy', 'Low self-esteem', 'Skin swelling', 'Heartburn', 'Hostile behavior', 'Throat irritation', 'Excessive anger', 'Blood in stool']","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Kidney function tests (Kidney function test)', 'Urinalysis', 'Intravenous fluid replacement', 'Electrolytes panel', 'Glucose measurement (Glucose level)']","['Charcoal', 'Acetylcysteine', 'Naloxone (Suboxone)', 'Haloperidol', 'Dolasetron (Anzemet)', 'Sodium Citrate', 'Flumazenil', 'Vecuronium', 'Chlorpromazine (Thorazine)', 'Calcium Acetate']"
98,Atrial fibrillation,"['Shortness of breath', 'Sharp chest pain', 'Palpitations', 'Dizziness', 'Irregular heartbeat', 'Fatigue', 'Increased heart rate', 'Decreased heart rate']","['Hematologic tests (Blood test)', 'Electrocardiogram', 'Complete blood count (Cbc)', 'Glucose measurement (Glucose level)', 'Electrolytes panel', 'Intravenous fluid replacement', 'Cardiac enzymes measurement (Cardiac enzymes test)']","['Warfarin', 'Furosemide', 'Digoxin', 'Diltiazem', 'Carvedilol', 'Amiodarone', 'Sotalol', 'Potassium Chloride', 'Propafenone', 'Flecainide', 'Bumetanide', 'Torsemide']"
99,Pinworm infection,"['Itching of the anus', 'Sharp abdominal pain', 'Pain of the anus', 'Skin rash', 'Constipation', 'Itching of skin', 'Painful urination', 'Neck mass', 'Retention of urine', 'Ankle pain', 'Burning abdominal pain', 'Coryza']","['Rectal examination', 'Other diagnostic procedures on skin and subcutaneous tissue', 'Ophthalmologic and otologic diagnosis and treatment', 'Corneal transplant', 'Procedures on spleen (Spleen operation)', 'Removal of ectopic pregnancy', 'Tracheostomy; temporary and permanent']","['Mebendazole', 'Pyrantel (Evict)', 'Magaldrate', 'Lactulose', 'Clotrimazole Topical', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)', 'Gadoteridol (Prohance)']"
